trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07716499996604398,,0.01634629996260628,5,0.07716499996604398,0.07716499996604398,0.05633630004012957,2.1640563999535516,[0.492],[-0.312],[1],[0],[0],[2.1061667000176385],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
1,0,1,0,2.227535599959083,,2.1724559999420308,5,2.227535599959083,2.227535599959083,0.0342588999774307,4.097253099957015,[0.308],[0.132],[1],[0],[0],[1.8916550000431016],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
2,0,2,0,4.194071299978532,,4.103794199996628,10,4.194071299978532,4.194071299978532,0.06180369999492541,8.730201599944849,[0.388],[-0.464],[1],[0],[0],[4.5655400000396185],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
3,0,3,0,8.793692599982023,,8.735694499977399,10,8.793692599982023,8.793692599982023,0.032536599959712476,10.613402299990412,[-0.082],[0.036],[1],[0],[0],[1.845507699996233],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
4,0,4,0,10.676949099986814,,10.62062869995134,10,10.676949099986814,10.676949099986814,0.03925689996685833,12.281006499950308,[-0.072],[-0.236],[1],[0],[0],[1.621677799965255],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
5,0,5,0,12.344615799956955,,12.287910699960776,5,12.344615799956955,12.344615799956955,0.031889400037471205,16.33288039994659,[-0.054],[-0.468],[1],[0],[0],[4.0137648999807425],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
6,0,6,0,16.39368039998226,,16.340599299990572,5,16.39368039998226,16.39368039998226,0.03460969997104257,19.579430099984165,[0.22],[0.38],[1],[0],[0],[3.2052190000540577],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
7,0,7,0,19.67818319995422,,19.586080899985973,10,19.67818319995422,19.67818319995422,0.05777030001627281,22.296482499979902,[-0.5],[-0.014],[1],[0],[0],[2.6535207999986596],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
8,0,8,0,22.361207099980675,,22.304183499945793,5,22.361207099980675,22.361207099980675,0.033018500020261854,26.015075699950103,[0.36],[-0.318],[1],[0],[0],[3.6788205999764614],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
9,0,9,0,26.077467399998568,,26.021475999965332,5,26.077467399998568,26.077467399998568,0.030446099990513176,28.946507199958432,[-0.476],[0.412],[1],[0],[0],[2.8956433000275865],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
10,0,10,0,28.977088999992702,,28.950621899974067,5,28.977088999992702,28.977088999992702,0.01654199999757111,31.115109999955166,[-0.052],[-0.324],[1],[0],[0],[2.1480241999961436],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
11,0,11,0,31.210345899977256,,31.12291389994789,10,31.210345899977256,31.210345899977256,0.060243000043556094,33.09498729999177,[0.12],[0.272],[1],[0],[0],[1.913251499994658],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
12,0,12,0,33.1271129999659,,33.097578799992334,5,33.1271129999659,33.1271129999659,0.011499300017021596,34.98001939995447,[-0.452],[0.308],[1],[0],[0],[1.8706696000299416],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
13,0,13,0,35.04463889996987,,34.988157899992075,5,35.04463889996987,35.04463889996987,0.0365987999830395,36.31293899996672,[-0.442],[0.188],[1],[0],[0],[1.2893309000064619],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
14,0,14,0,36.37770689994795,,36.31996149994666,5,36.37770689994795,36.37770689994795,0.031298100017011166,37.964951399946585,[-0.138],[0.348],[1],[0],[0],[1.614425499981735],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
15,0,15,0,38.0439914999879,,37.97262629994657,10,38.0439914999879,38.0439914999879,0.05400850001024082,40.34642519999761,[-0.502],[-0.144],[1],[0],[0],[2.320556700055022],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
16,0,16,0,40.444415399979334,,40.353727599955164,10,40.444415399979334,40.444415399979334,0.062256500008516014,42.64700479997555,[0.2],[-0.21],[1],[0],[0],[2.231780299975071],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
17,0,17,0,42.72712529997807,,42.653720399946906,10,42.72712529997807,42.72712529997807,0.06100960000185296,45.080195599992294,[-0.248],[0.42],[1],[0],[0],[2.366001699992921],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
18,0,18,0,45.177755799959414,,45.089787199976854,10,45.177755799959414,45.177755799959414,0.06098969996673986,48.11407379998127,[0.478],[0.378],[1],[0],[0],[2.963933499995619],['target'],548267,001,2024-10-09_15h10.17.487,untitled,2024.1.5,None,2024-10-09 15h10.20.278976 +0530,
